X,Y,OBJECTID,PARKINGMID,ASSETID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,ACCESSIBLE,DURATION,FDMID,PARTNER,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,LEGACYID,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.575225824942734,44.644994427949712,59544,PKM7664,PKM7664,PKM,Halifax,,,,,Right-of-Way,,120,300001588,,In Service,,,Halifax,4B,,2016-10-07T13:17:28.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.575994245633389,44.644978517486379,59545,PKM7666,PKM7666,PKM,Halifax,,,,,Right-of-Way,,120,300001634,,In Service,,,Halifax,32,,2016-10-07T13:18:18.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.576955708888725,44.646797992633978,59546,PKM7668,PKM7668,PKM,Halifax,,,,,Right-of-Way,,120,300001483,,In Service,,,Halifax,52A,,2016-10-07T12:52:44.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.56948767167372,44.642273699580343,59547,PKM7669,PKM7669,PKM,Halifax,,,,,Right-of-Way,,120,300001781,,In Service,,,Halifax,5B,,2016-10-07T13:09:09.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.570902661976639,44.641907921540081,59548,PKM7670,PKM7670,PKM,Halifax,,,,,Right-of-Way,,120,300001816,,In Service,,,Halifax,15A,,2016-10-07T13:08:23.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.58523254786305,44.645082428826385,59549,PKM7672,PKM7672,PKM,Halifax,,,,,Right-of-Way,,120,700004802,,In Service,,,Halifax,55B,,2016-10-07T13:54:23.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.585186509204739,44.645007221380482,59550,PKM7673,PKM7673,PKM,Halifax,,,,,Right-of-Way,,120,700004802,,In Service,,,Halifax,53,,2016-10-07T13:54:23.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.585493197636005,44.64557183727544,59551,PKM7674,PKM7674,PKM,Halifax,,,,,Right-of-Way,,120,700004802,,In Service,,,Halifax,61A,,2016-10-07T13:54:23.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.574148996445345,44.648636651105619,59552,PKM7677,PKM7677,PKM,Halifax,,,,,Right-of-Way,,30,300001376,,In Service,,,Halifax,28B,,2016-10-06T19:50:48.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.570560658076623,44.665983549170882,59553,PKM7678,PKM7678,PKM,Halifax,2017,Moderate – Value based on good indication(s) from reliable source,,,Right-of-Way,,90,200000576,,In Service,,,Not Applicable,1,,2018-03-09T12:57:31.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.569817391112224,44.666452955162313,59554,PKM7679,PKM7679,PKM,Halifax,,,,,Right-of-Way,,90,200000138,,In Service,,,Halifax,5B,,2018-03-09T12:28:16.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.567661730874384,44.66591339631465,59555,PKM7680,PKM7680,PKM,Halifax,,,,,Right-of-Way,,90,200000579,,In Service,,,Halifax,16A,,2016-10-07T14:00:24.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.568167863265025,44.665482280509721,59556,PKM7682,PKM7682,PKM,Halifax,,,,,Right-of-Way,,90,200000579,,In Service,,,Halifax,8B,,2016-10-07T14:00:24.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.566465853143988,44.666912368357984,59557,PKM7683,PKM7683,PKM,Halifax,,,,,Right-of-Way,,90,200000571,,In Service,,,Halifax,30A,,2016-10-07T14:02:10.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.567197472552401,44.665177582594161,59558,PKM7684,PKM7684,PKM,Halifax,,,,,Right-of-Way,,90,200000596,,In Service,,,Halifax,9A,,2018-03-09T12:35:35.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
